Kod stacji,DsJelw05,DsWrocWie,KpCiechoTezniowa,KpWloclSielska,LbBialaPOrzechowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
6/15/2001 0:00,60,28.3,42.7,,14,33,37,21.2,,45.31
6/16/2001 0:00,46,,,,,37,38.3,25,,
6/17/2001 0:00,31,,25.7,,10,,31.7,20.2,,40.4
6/18/2001 0:00,28,20,,,,25,27.2,12.9,20.5,
6/19/2001 0:00,36,18.3,16.8,12.5,7,23,27.9,13.5,22.3,21.67
6/20/2001 0:00,37,25.4,,,,39,33.7,11.7,21.7,
6/21/2001 0:00,41,20.5,21.2,20,11,28,36.7,24.9,29.1,24.29
6/22/2001 0:00,33,8.6,,,,22,29.4,15.6,,
6/23/2001 0:00,23,10.7,16.5,,7,14,20.5,9,19.2,
6/24/2001 0:00,28,15.9,,,,,20.6,12.5,,
6/25/2001 0:00,24,17.3,21.6,25.2,8,31,24.7,14.7,22.3,50.3
6/26/2001 0:00,35,23.8,,,,,28.1,18.8,,
6/27/2001 0:00,34,36,20.7,16.2,7,46,56.8,23.4,27.9,
6/28/2001 0:00,63,16.4,,,,33,61.2,27.3,26.7,
6/29/2001 0:00,57,,18.8,,10,42,47.8,25.7,,
6/30/2001 0:00,52,,,,,31,37.9,26.2,27.3,
7/1/2001 0:00,47,,21.5,,9,,28.1,17.3,,27.02
7/2/2001 0:00,28,10.1,,,,24,37.5,14.6,26.7,
7/3/2001 0:00,24,34.1,16.7,13.5,9,20,29.4,12.7,19.2,35.4
7/4/2001 0:00,38,20.6,,,,24,47.4,17.6,19.2,
7/5/2001 0:00,38,34.6,29.6,16.8,12,31,36.8,18.9,22.3,41.32
7/6/2001 0:00,53,,,,,33,50.1,27.2,,
7/7/2001 0:00,67,,36.9,,13,36,35.7,,34.1,43.06
7/8/2001 0:00,42,,,,,,22,,,
7/9/2001 0:00,28,,22.6,16.2,9,,25.2,,31,35.88
7/10/2001 0:00,40,13.1,,,,,28.2,,18,
7/11/2001 0:00,39,14.7,27.7,16.5,10,29,44.4,,27.9,40.47
7/12/2001 0:00,40,20.7,,,,38,29.6,,22.9,
7/13/2001 0:00,37,14.3,25,,9,41,39.5,,,6.39
7/14/2001 0:00,32,,,,,45,40.2,,,
7/15/2001 0:00,40,,37.5,,9,,40,,15.5,
7/16/2001 0:00,27,,,,,36,54.7,,48.4,
7/17/2001 0:00,16,,16.9,12.7,15,25,34.4,,37.2,25.2
7/18/2001 0:00,34,,,,,30,24.2,,20.5,
7/19/2001 0:00,24,25,31.3,12.6,10,43,38.3,,29.1,44.59
7/20/2001 0:00,29,19.4,,,,27,37.1,,26.7,
7/21/2001 0:00,32,23.2,22.1,,8,30,29.9,,21.9,39.36
7/22/2001 0:00,31,22,,,,,22.3,,21.9,
7/23/2001 0:00,26,38,59.4,20,7,30,30.6,,23.8,36.24
7/24/2001 0:00,15,55.4,,,,42,30.7,,18.3,
7/25/2001 0:00,13,,27.9,20.8,8,39,28.3,,23.8,25.21
7/26/2001 0:00,13,22.7,,,,38,34.7,,23.8,
7/27/2001 0:00,33,20.7,14.6,,7,33,29.6,,29.3,31.25
7/28/2001 0:00,19,,,,,20,30,,29.3,
7/29/2001 0:00,18,,19.9,,9,,26.8,,,31.05
7/30/2001 0:00,18,26.7,,,,34,32.3,,21.9,
7/31/2001 0:00,26,27.3,16.9,20.8,14,45,37.7,,20.1,58.87
8/1/2001 0:00,19,18.9,13.7,16.7,7,31,35,,,34.22
8/2/2001 0:00,15,33,,,,,44.6,,,
8/3/2001 0:00,25,39,33.2,,11,40,59.7,,,48.56
8/4/2001 0:00,22,,,,,36,38.3,,,
8/5/2001 0:00,11,,25,,9,,23.8,,21.9,25.56
8/6/2001 0:00,10,17.2,,,,23,28.7,,25.6,
8/7/2001 0:00,10,20.6,28.6,13,9,22,29.4,,18.3,8.99
8/8/2001 0:00,12,21.8,,,,29,32.2,,31.1,
8/9/2001 0:00,14,16.1,23.9,12.3,10,26,39.2,,21.9,49.34
8/10/2001 0:00,15,15.5,,,,23,32.5,8,27.4,
8/11/2001 0:00,12,,23.3,,7,17,24.7,8.5,14.6,12.67
8/12/2001 0:00,16,,,,,,21.7,8.1,14.6,
8/13/2001 0:00,16,33,14.2,17.2,13,34,33.4,10.3,14.6,
8/14/2001 0:00,21,,,,,35,38.3,13.1,,
8/15/2001 0:00,27,,42.6,,10,,30.6,12.5,23.8,
