Kod stacji,DsWrocWie,KpCiechoTezniowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g
7/30/2000 0:00,14,,,8.9,,,
7/31/2000 0:00,25.9,,22,15.1,,28.5,28.68
8/1/2000 0:00,28.6,,31,,,37.2,44.22
8/2/2000 0:00,27.1,,31,23,,19.2,
8/3/2000 0:00,26.8,,35,19.6,,21.1,57.87
8/4/2000 0:00,26.2,,51,19.5,,,
8/5/2000 0:00,34.2,,39,20.9,,24.2,41.19
8/6/2000 0:00,26.1,,,20.8,,,
8/7/2000 0:00,24.6,43,74,17.9,,26,
8/8/2000 0:00,25.6,,28,16.8,,32.2,
8/9/2000 0:00,33.2,23,24,19.3,,31.6,42.33
8/10/2000 0:00,40.5,,32,16.9,,32.9,
8/11/2000 0:00,28.1,50,26,20.9,,,47.58
8/12/2000 0:00,26.1,,27,19,,33.5,
8/13/2000 0:00,34.7,,,21.9,,,40.77
8/14/2000 0:00,44.3,,,,32,37.2,
8/15/2000 0:00,41,51,,,31,,13.83
8/16/2000 0:00,46.9,,42,,40,29.1,
8/17/2000 0:00,42.1,27,33,,38,24.8,55
8/18/2000 0:00,28.7,,28,,34,,
8/19/2000 0:00,46.6,42,38,,37,30.4,86.35
8/20/2000 0:00,89.2,,,,34,,
8/21/2000 0:00,32.1,28,18,26.8,46,18.6,87.58
8/22/2000 0:00,22,,26,21.5,24,25.4,
8/23/2000 0:00,28.1,18,28,18.4,21,19.8,38.54
8/24/2000 0:00,27.7,,19,17.8,29,35.3,
8/25/2000 0:00,16.8,15,16,15.8,31,,30.36
8/26/2000 0:00,17.2,,14,15.3,25,31,
8/27/2000 0:00,23.1,31,,17,31,,22.98
8/28/2000 0:00,30.8,,43,20.3,55,43.4,
8/29/2000 0:00,42,,52,29.6,68,,59.06
