Kod stacji,LdLodzWSSEMLegiono,Pm.63.wDSMm,SlZabrzZabr_sklod
Wskaźnik,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g
9/1/2006 0:00,11,,12
9/2/2006 0:00,,,21.6
9/3/2006 0:00,,,15.7
9/4/2006 0:00,5,,6.3
9/5/2006 0:00,6,,6.5
9/6/2006 0:00,11,,15.2
9/7/2006 0:00,11,,19.3
9/8/2006 0:00,6,,7.7
9/9/2006 0:00,9,,10.1
9/10/2006 0:00,12,,34.4
9/11/2006 0:00,21,,35.4
9/12/2006 0:00,17,,38.4
9/13/2006 0:00,22,,38.2
9/14/2006 0:00,16,,37
9/15/2006 0:00,16,,29.8
9/16/2006 0:00,20,,26
9/17/2006 0:00,18,,24
9/18/2006 0:00,30,,35.9
9/19/2006 0:00,29,,35.6
9/20/2006 0:00,17,,13.6
9/21/2006 0:00,11,,25.2
9/22/2006 0:00,9,,19.5
9/23/2006 0:00,14,,23.4
9/24/2006 0:00,14,,24.8
9/25/2006 0:00,17,,23.3
9/26/2006 0:00,20,,33.4
9/27/2006 0:00,38,,54.5
9/28/2006 0:00,29,,35.2
9/29/2006 0:00,23,,33.4
9/30/2006 0:00,31,,40.2
10/1/2006 0:00,25,,34.3
10/2/2006 0:00,8,,17.1
10/3/2006 0:00,12,14,17.9
10/4/2006 0:00,10,18,11.6
10/5/2006 0:00,15,17,19
10/6/2006 0:00,11,18,20.9
10/7/2006 0:00,8,,13.6
10/8/2006 0:00,8,,24
10/9/2006 0:00,20,8,73.3
10/10/2006 0:00,23,20,70.5
10/11/2006 0:00,22,36,58.9
10/12/2006 0:00,32,42,96.7
10/13/2006 0:00,29,17,86.9
10/14/2006 0:00,23,27,59.6
10/15/2006 0:00,12,11,26.3
10/16/2006 0:00,21,11,45.6
10/17/2006 0:00,25,24,63.5
10/18/2006 0:00,26,30,66.6
10/19/2006 0:00,29,37,75.2
10/20/2006 0:00,30,49,68.3
10/21/2006 0:00,31,31,45.1
10/22/2006 0:00,26,14,54.8
10/23/2006 0:00,21,22,38.9
10/24/2006 0:00,11,11,24.3
10/25/2006 0:00,19,10,38.8
10/26/2006 0:00,16,15,60
10/27/2006 0:00,11,8,29.1
10/28/2006 0:00,18,10,48.4
10/29/2006 0:00,8,5,12.5
10/30/2006 0:00,31,8,52.7
10/31/2006 0:00,17,8,43.6
11/1/2006 0:00,9,3,11.6
11/2/2006 0:00,17,6,5.4
11/3/2006 0:00,18,22,15.8
11/4/2006 0:00,20,15,25.1
11/5/2006 0:00,14,7,8.7
11/6/2006 0:00,17,8,12.4
11/7/2006 0:00,25,14,39.3
11/8/2006 0:00,33,38,61.3
11/9/2006 0:00,11,22,21.6
11/10/2006 0:00,16,3,6.9
11/11/2006 0:00,15,,25.8
11/12/2006 0:00,12,12,12.9
11/13/2006 0:00,14,11,15.3
11/14/2006 0:00,18,13,19.2
11/15/2006 0:00,27,20,65.2
11/16/2006 0:00,34,26,84.3
11/17/2006 0:00,45,9,88.9
11/18/2006 0:00,43,,90.9
11/19/2006 0:00,35,16,99.6
11/20/2006 0:00,31,,
11/21/2006 0:00,35,21,74.4
11/22/2006 0:00,31,,113.6
11/23/2006 0:00,25,22,64.4
11/24/2006 0:00,29,23,106.3
11/25/2006 0:00,28,30,76.6
11/26/2006 0:00,44,22,114.8
11/27/2006 0:00,34,27,171.1
11/28/2006 0:00,41,31,
11/29/2006 0:00,34,31,137.9
11/30/2006 0:00,39,25,40.9
12/1/2006 0:00,27,,71.9
12/2/2006 0:00,35,27,40.1
12/3/2006 0:00,34,24,58.6
12/4/2006 0:00,23,,53.9
12/5/2006 0:00,18,8,46
12/6/2006 0:00,18,7,45.9
12/7/2006 0:00,24,10,58.1
12/8/2006 0:00,22,18,46.8
12/9/2006 0:00,25,30,32.7
12/10/2006 0:00,13,12,14.5
12/11/2006 0:00,23,13,45.6
12/12/2006 0:00,19,15,40.4
